Date,Close
2022-02-28,148.46
2022-03-01,145.7
2022-03-02,147.34
2022-03-03,145.57
2022-03-04,140.72
2022-03-07,133.5
2022-03-08,131.75
2022-03-09,133.65
2022-03-10,133.64
2022-03-11,131.75
2022-03-14,129.03
2022-03-15,134.2
2022-03-16,138.14
2022-03-17,139.47
2022-03-18,140.3
2022-03-21,138.62
2022-03-22,140.11
2022-03-23,137.64
2022-03-24,138.96
2022-03-25,139.14
2022-03-28,138.72
2022-03-29,142.38
2022-03-30,140.96
2022-03-31,137.16
2022-04-01,137.0
2022-04-04,138.58
2022-04-05,135.62
2022-04-06,132.57
2022-04-07,131.87
2022-04-08,131.87
2022-04-11,130.65
2022-04-12,130.84
2022-04-13,132.35
2022-04-14,130.47
2022-04-18,127.77
2022-04-19,131.9
2022-04-20,124.57
2022-04-21,121.66
2022-04-22,118.27
2022-04-25,119.95
2022-04-26,115.77
2022-04-27,115.21
2022-04-28,115.29
2022-04-29,111.63
2022-05-02,113.5
2022-05-03,113.55
2022-05-04,116.19
2022-05-05,112.61
2022-05-06,110.29
2022-05-09,106.98
2022-05-10,107.68
2022-05-11,105.21
2022-05-12,104.31
2022-05-13,107.33
2022-05-16,105.18
2022-05-17,108.64
2022-05-18,104.3
2022-05-19,103.14
2022-05-20,102.42
2022-05-23,105.83
2022-05-24,101.59
2022-05-25,103.26
2022-05-26,105.61
2022-05-27,109.32
2022-05-31,110.44
2022-06-01,109.19
2022-06-02,110.87
2022-06-03,108.67
2022-06-06,107.83
2022-06-07,107.79
2022-06-08,107.34
2022-06-09,103.3
2022-06-10,99.4
2022-06-13,95.71
2022-06-14,94.22
2022-06-15,95.88
2022-06-16,94.28
2022-06-17,94.34
2022-06-21,93.29
2022-06-22,93.5
2022-06-23,94.3
2022-06-24,97.78
2022-06-27,96.61
2022-06-28,95.92
2022-06-29,95.65
2022-06-30,94.4
2022-07-01,96.14
2022-07-05,97.18
2022-07-06,96.08
2022-07-07,97.43
2022-07-08,95.86
2022-07-11,93.64
2022-07-12,93.6
2022-07-13,92.94
2022-07-14,91.84
2022-07-15,95.2
2022-07-18,95.7
2022-07-19,99.61
2022-07-20,103.35
2022-07-21,104.18
2022-07-22,102.72
2022-07-25,102.69
2022-07-26,99.78
2022-07-27,103.5
2022-07-28,104.9
2022-07-29,106.1
2022-08-01,106.22
2022-08-02,104.71
2022-08-03,109.02
2022-08-04,108.12
2022-08-05,106.63
2022-08-08,109.11
2022-08-09,108.13
2022-08-10,112.43
2022-08-11,117.69
2022-08-12,121.57
2022-08-15,124.26
2022-08-16,124.96
2022-08-17,122.81
2022-08-18,122.67
2022-08-19,120.14
2022-08-22,115.94
2022-08-23,114.86
2022-08-24,116.41
2022-08-25,117.46
2022-08-26,114.07
2022-08-29,113.53
2022-08-30,112.43
2022-08-31,112.08
2022-09-01,112.53
2022-09-02,111.2
2022-09-06,110.09
2022-09-07,112.69
2022-09-08,112.33
2022-09-09,115.18
2022-09-12,116.39
2022-09-13,111.76
2022-09-14,112.5
2022-09-15,110.77
2022-09-16,108.25
2022-09-19,109.17
2022-09-20,107.57
2022-09-21,104.49
2022-09-22,102.16
2022-09-23,99.5
2022-09-26,98.12
2022-09-27,95.85
2022-09-28,99.4
2022-09-29,97.45
2022-09-30,94.33
2022-10-03,97.13
2022-10-04,101.44
2022-10-05,100.8
2022-10-06,100.04
2022-10-07,97.16
2022-10-10,95.16
2022-10-11,93.1
2022-10-12,93.41
2022-10-13,96.64
2022-10-14,94.45
2022-10-17,97.33
2022-10-18,98.48
2022-10-19,98.99
2022-10-20,98.59
2022-10-21,102.04
2022-10-24,101.72
2022-10-25,104.36
2022-10-26,104.63
2022-10-27,104.44
2022-10-28,105.95
2022-10-31,106.54
2022-11-01,106.0
2022-11-02,101.82
2022-11-03,99.25
2022-11-04,99.58
2022-11-07,100.43
2022-11-08,99.9
2022-11-09,86.75
2022-11-10,90.46
2022-11-11,95.01
2022-11-14,94.28
2022-11-15,95.51
2022-11-16,93.95
2022-11-17,91.45
