Date,Close
2022-02-28,321.45
2022-03-01,316.84
2022-03-02,323.64
2022-03-03,327.74
2022-03-04,325.34
2022-03-07,322.72
2022-03-08,318.52
2022-03-09,325.4
2022-03-10,325.3
2022-03-11,326.6
2022-03-14,329.98
2022-03-15,332.55
2022-03-16,336.11
2022-03-17,344.97
2022-03-18,342.41
2022-03-21,349.66
2022-03-22,349.93
2022-03-23,348.16
2022-03-24,352.37
2022-03-25,358.76
2022-03-28,359.57
2022-03-29,355.12
2022-03-30,357.61
2022-03-31,352.91
2022-04-01,351.88
2022-04-04,345.43
2022-04-05,344.8
2022-04-06,344.71
2022-04-07,346.51
2022-04-08,353.1
2022-04-11,352.02
2022-04-12,349.74
2022-04-13,346.22
2022-04-14,344.33
2022-04-18,346.65
2022-04-19,348.5
2022-04-20,348.82
2022-04-21,343.6
2022-04-22,335.56
2022-04-25,336.95
2022-04-26,330.65
2022-04-27,329.58
2022-04-28,331.27
2022-04-29,322.83
2022-05-02,318.19
2022-05-03,318.99
2022-05-04,326.8
2022-05-05,318.68
2022-05-06,318.88
2022-05-09,312.96
2022-05-10,312.53
2022-05-11,311.54
2022-05-12,308.06
2022-05-13,310.36
2022-05-16,309.29
2022-05-17,314.6
2022-05-18,306.64
2022-05-19,304.15
2022-05-20,304.05
2022-05-23,310.2
2022-05-24,309.17
2022-05-25,308.64
2022-05-26,312.5
2022-05-27,319.11
2022-05-31,315.98
2022-06-01,312.21
2022-06-02,314.95
2022-06-03,310.94
2022-06-06,312.15
2022-06-07,313.65
2022-06-08,308.74
2022-06-09,300.8
2022-06-10,291.71
2022-06-13,281.56
2022-06-14,277.64
2022-06-15,278.93
2022-06-16,268.56
2022-06-17,268.08
2022-06-21,271.77
2022-06-22,269.79
2022-06-23,267.52
2022-06-24,278.28
2022-06-27,278.4
2022-06-28,273.86
2022-06-29,273.49
2022-06-30,273.02
2022-07-01,277.5
2022-07-05,275.69
2022-07-06,275.65
2022-07-07,279.28
2022-07-08,280.83
2022-07-11,278.51
2022-07-12,277.28
2022-07-13,277.47
2022-07-14,274.41
2022-07-15,278.48
2022-07-18,276.26
2022-07-19,283.55
2022-07-20,286.04
2022-07-21,286.85
2022-07-22,285.93
2022-07-25,287.99
2022-07-26,285.31
2022-07-27,290.3
2022-07-28,293.9
2022-07-29,300.6
2022-08-01,295.86
2022-08-02,292.17
2022-08-03,294.96
2022-08-04,292.91
2022-08-05,292.07
2022-08-08,292.34
2022-08-09,292.77
2022-08-10,295.11
2022-08-11,296.47
2022-08-12,301.55
2022-08-15,302.82
2022-08-16,306.65
2022-08-17,304.26
2022-08-18,304.27
2022-08-19,297.28
2022-08-22,288.69
2022-08-23,289.65
2022-08-24,293.52
2022-08-25,298.13
2022-08-26,289.96
2022-08-29,287.45
2022-08-30,285.42
2022-08-31,280.8
2022-09-01,282.43
2022-09-02,277.67
2022-09-06,276.59
2022-09-07,281.04
2022-09-08,283.34
2022-09-09,285.77
2022-09-12,288.51
2022-09-13,278.29
2022-09-14,278.42
2022-09-15,276.7
2022-09-16,274.81
2022-09-19,278.95
2022-09-20,277.13
2022-09-21,270.74
2022-09-22,268.51
2022-09-23,267.77
2022-09-26,264.32
2022-09-27,265.47
2022-09-28,271.78
2022-09-29,269.58
2022-09-30,267.02
2022-10-03,272.8
2022-10-04,280.49
2022-10-05,279.36
2022-10-06,276.31
2022-10-07,269.04
2022-10-10,266.93
2022-10-11,267.31
2022-10-12,264.0
2022-10-13,275.78
2022-10-14,272.67
2022-10-17,277.02
2022-10-18,281.67
2022-10-19,278.34
2022-10-20,273.53
2022-10-21,282.51
2022-10-24,287.48
2022-10-25,289.24
2022-10-26,288.52
2022-10-27,289.88
2022-10-28,299.63
2022-10-31,295.09
2022-11-01,294.13
2022-11-02,289.46
2022-11-03,283.85
2022-11-04,287.47
2022-11-07,290.19
2022-11-08,292.61
2022-11-09,288.65
2022-11-10,303.2
2022-11-11,309.72
2022-11-14,308.91
2022-11-15,309.98
2022-11-16,308.76
2022-11-17,307.44
2022-11-18,310.76
2022-11-21,311.2
2022-11-22,315.76
2022-11-23,316.18
2022-11-25,317.43
2022-11-28,313.27
2022-11-29,315.13
2022-11-30,318.6
2022-12-01,315.84
2022-12-02,316.15
2022-12-05,310.57
2022-12-06,307.78
2022-12-07,305.82
2022-12-08,305.99
2022-12-09,306.39
2022-12-12,311.45
2022-12-13,312.33
2022-12-14,309.29
2022-12-15,301.91
2022-12-16,300.0
2022-12-19,300.03
2022-12-20,302.0
2022-12-21,307.82
2022-12-22,302.69
2022-12-23,306.49
2022-12-27,305.55
2022-12-28,303.43
2022-12-29,309.06
2022-12-30,308.9
2023-01-03,309.91
2023-01-04,314.55
2023-01-05,312.9
2023-01-06,318.69
2023-01-09,315.53
2023-01-10,316.35
2023-01-11,320.37
2023-01-12,318.93
2023-01-13,317.64
2023-01-17,314.86
2023-01-18,308.3
2023-01-19,305.23
2023-01-20,309.87
2023-01-23,310.42
