Date,Close
2022-02-28,62.24
2022-03-01,61.97
2022-03-02,62.43
2022-03-03,62.47
2022-03-04,62.57
2022-03-07,61.08
2022-03-08,58.66
2022-03-09,58.96
2022-03-10,57.88
2022-03-11,57.92
2022-03-14,58.54
2022-03-15,59.62
2022-03-16,59.46
2022-03-17,60.09
2022-03-18,60.1
2022-03-21,60.58
2022-03-22,60.8
2022-03-23,60.4
2022-03-24,60.98
2022-03-25,61.53
2022-03-28,61.92
2022-03-29,62.16
2022-03-30,62.21
2022-03-31,62.0
2022-04-01,62.87
2022-04-04,62.54
2022-04-05,62.47
2022-04-06,63.1
2022-04-07,63.44
2022-04-08,63.83
2022-04-11,63.81
2022-04-12,64.56
2022-04-13,64.73
2022-04-14,65.02
2022-04-18,64.44
2022-04-19,65.07
2022-04-20,65.96
2022-04-21,66.21
2022-04-22,65.25
2022-04-25,65.94
2022-04-26,65.05
2022-04-27,65.56
2022-04-28,66.19
2022-04-29,64.61
2022-05-02,63.44
2022-05-03,63.08
2022-05-04,65.03
2022-05-05,64.51
2022-05-06,64.74
2022-05-09,64.61
2022-05-10,64.01
2022-05-11,64.31
2022-05-12,64.51
2022-05-13,65.72
2022-05-16,65.96
2022-05-17,65.78
2022-05-18,61.2
2022-05-19,60.0
2022-05-20,60.98
2022-05-23,62.86
2022-05-24,64.02
2022-05-25,64.07
2022-05-26,64.3
2022-05-27,64.68
2022-05-31,63.38
2022-06-01,63.07
2022-06-02,63.73
2022-06-03,62.97
2022-06-06,62.87
2022-06-07,63.25
2022-06-08,62.89
2022-06-09,61.8
2022-06-10,61.41
2022-06-13,61.34
2022-06-14,59.23
2022-06-15,59.67
2022-06-16,59.07
2022-06-17,59.43
2022-06-21,60.7
2022-06-22,61.15
2022-06-23,61.88
2022-06-24,63.04
2022-06-27,62.91
2022-06-28,62.28
2022-06-29,62.73
2022-06-30,62.91
2022-07-01,64.38
2022-07-05,63.28
2022-07-06,63.41
2022-07-07,62.91
2022-07-08,63.14
2022-07-11,62.94
2022-07-12,62.67
2022-07-13,62.38
2022-07-14,62.18
2022-07-15,62.5
2022-07-18,61.65
2022-07-19,62.53
2022-07-20,61.5
2022-07-21,61.36
2022-07-22,61.59
2022-07-25,62.19
2022-07-26,63.21
2022-07-27,63.01
2022-07-28,64.06
2022-07-29,64.17
2022-08-01,64.52
2022-08-02,63.64
2022-08-03,63.92
2022-08-04,63.67
2022-08-05,63.38
2022-08-08,62.97
2022-08-09,63.05
2022-08-10,63.65
2022-08-11,63.22
2022-08-12,63.7
2022-08-15,64.5
2022-08-16,65.03
2022-08-17,64.88
2022-08-18,65.22
2022-08-19,65.17
2022-08-22,64.2
2022-08-23,64.27
2022-08-24,64.36
2022-08-25,64.67
2022-08-26,63.11
2022-08-29,62.73
2022-08-30,62.15
2022-08-31,61.71
2022-09-01,62.0
2022-09-02,61.15
2022-09-06,61.18
2022-09-07,62.31
2022-09-08,62.12
2022-09-09,62.32
2022-09-12,62.5
2022-09-13,60.47
2022-09-14,60.79
2022-09-15,59.53
2022-09-16,59.54
2022-09-19,59.99
2022-09-20,59.9
2022-09-21,59.4
2022-09-22,59.26
2022-09-23,58.6
2022-09-26,57.87
2022-09-27,56.38
2022-09-28,56.98
2022-09-29,56.57
2022-09-30,56.02
2022-10-03,56.65
2022-10-04,56.78
2022-10-05,56.24
2022-10-06,55.03
2022-10-07,54.51
2022-10-10,54.39
2022-10-11,54.48
2022-10-12,55.14
2022-10-13,55.87
2022-10-14,54.98
2022-10-17,55.69
2022-10-18,56.44
2022-10-19,55.96
2022-10-20,55.08
2022-10-21,55.96
2022-10-24,57.57
2022-10-25,58.95
2022-10-26,59.39
2022-10-27,59.53
2022-10-28,60.76
2022-10-31,59.85
2022-11-01,59.64
2022-11-02,58.81
2022-11-03,58.78
2022-11-04,59.26
2022-11-07,59.49
2022-11-08,59.6
2022-11-09,58.77
2022-11-10,60.88
2022-11-11,61.32
2022-11-14,60.73
2022-11-15,60.63
2022-11-16,60.52
2022-11-17,60.71
2022-11-18,61.14
2022-11-21,62.08
2022-11-22,62.35
2022-11-23,62.63
2022-11-25,62.69
2022-11-28,62.7
2022-11-29,62.48
2022-11-30,63.61
2022-12-01,63.79
2022-12-02,64.35
